county_fips,state_fips,state_name,county_name,cbsa_code,cbsa_title,cbsa_type,csa_code,csa_title,central_outlying
01001,01,Alabama,Autauga County,33860,"Montgomery, AL",Metro,388,"Montgomery-Selma, AL",Central
01003,01,Alabama,Baldwin County,19300,"Daphne-Fairhope-Foley, AL",Metro,380,"Mobile-Daphne-Fairhope, AL",Central
01005,01,Alabama,Barbour County,21640,"Eufaula, AL-GA",Micro,,,Central
01007,01,Alabama,Bibb County,13820,"Birmingham, AL",Metro,142,"Birmingham-Cullman-Talladega, AL",Outlying
01009,01,Alabama,Blount County,13820,"Birmingham, AL",Metro,142,"Birmingham-Cullman-Talladega, AL",Outlying
01015,01,Alabama,Calhoun County,11500,"Anniston-Oxford, AL",Metro,,,Central
01017,01,Alabama,Chambers County,29300,"LaGrange, GA-AL",Micro,122,"Atlanta--Athens-Clarke County--Sandy Springs, GA-AL",Outlying
01021,01,Alabama,Chilton County,13820,"Birmingham, AL",Metro,142,"Birmingham-Cullman-Talladega, AL",Outlying
01031,01,Alabama,Coffee County,21460,"Enterprise, AL",Micro,222,"Dothan-Enterprise-Ozark, AL",Central
01033,01,Alabama,Colbert County,22520,"Florence-Muscle Shoals, AL",Metro,250,"Florence-Muscle Shoals-Russellville, AL",Central
01037,01,Alabama,Coosa County,45180,"Talladega-Sylacauga, AL",Micro,142,"Birmingham-Cullman-Talladega, AL",Outlying
01043,01,Alabama,Cullman County,18980,"Cullman, AL",Micro,142,"Birmingham-Cullman-Talladega, AL",Central
01045,01,Alabama,Dale County,37120,"Ozark, AL",Micro,222,"Dothan-Enterprise-Ozark, AL",Central
01047,01,Alabama,Dallas County,42820,"Selma, AL",Micro,388,"Montgomery-Selma, AL",Central
01049,01,Alabama,DeKalb County,22840,"Fort Payne, AL",Micro,290,"Huntsville-Decatur-Albertville, AL-TN",Central
01051,01,Alabama,Elmore County,33860,"Montgomery, AL",Metro,388,"Montgomery-Selma, AL",Central
01055,01,Alabama,Etowah County,23460,"Gadsden, AL",Metro,,,Central
01059,01,Alabama,Franklin County,40770,"Russellville, AL",Micro,250,"Florence-Muscle Shoals-Russellville, AL",Central
01061,01,Alabama,Geneva County,20020,"Dothan, AL",Metro,222,"Dothan-Enterprise-Ozark, AL",Outlying
01063,01,Alabama,Greene County,46220,"Tuscaloosa, AL",Metro,,,Outlying
01065,01,Alabama,Hale County,46220,"Tuscaloosa, AL",Metro,,,Outlying
01067,01,Alabama,Henry County,20020,"Dothan, AL",Metro,222,"Dothan-Enterprise-Ozark, AL",Outlying
01069,01,Alabama,Houston County,20020,"Dothan, AL",Metro,222,"Dothan-Enterprise-Ozark, AL",Central
01071,01,Alabama,Jackson County,42460,"Scottsboro, AL",Micro,174,"Chattanooga-Cleveland-Dalton, TN-GA-AL",Central
01073,01,Alabama,Jefferson County,13820,"Birmingham, AL",Metro,142,"Birmingham-Cullman-Talladega, AL",Central
01077,01,Alabama,Lauderdale County,22520,"Florence-Muscle Shoals, AL",Metro,250,"Florence-Muscle Shoals-Russellville, AL",Central
01079,01,Alabama,Lawrence County,19460,"Decatur, AL",Metro,290,"Huntsville-Decatur-Albertville, AL-TN",Outlying
01081,01,Alabama,Lee County,12220,"Auburn-Opelika, AL",Metro,194,"Columbus-Auburn-Opelika, GA-AL",Central
01083,01,Alabama,Limestone County,26620,"Huntsville, AL",Metro,290,"Huntsville-Decatur-Albertville, AL-TN",Central
